Loan_ID,Gender,Married,Dependents,Education,Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001264,Male,Yes,3+,Not Graduate,Yes,33330,21660,13000,360,,Semiurban,Y
LP001265,Female,No,0,Graduate,No,38460,0,11100,360,1,Semiurban,Y
LP001266,Male,Yes,1,Graduate,Yes,23950,0,,360,1,Semiurban,Y
LP001267,Female,Yes,2,Graduate,No,13780,18810,16700,360,1,Urban,N
LP001273,Male,Yes,0,Graduate,No,60000,22500,26500,360,,Semiurban,N
LP001275,Male,Yes,1,Graduate,No,39880,0,5000,240,1,Urban,Y
LP001279,Male,No,0,Graduate,No,23660,25310,13600,360,1,Semiurban,Y
LP001280,Male,Yes,2,Not Graduate,No,33330,20000,9900,360,,Semiurban,Y
LP001282,Male,Yes,0,Graduate,No,25000,21180,10400,360,1,Semiurban,Y
LP001289,Male,No,0,Graduate,No,85660,0,21000,360,1,Urban,Y
LP001310,Male,Yes,0,Graduate,No,56950,41670,17500,360,1,Semiurban,Y
LP001316,Male,Yes,0,Graduate,No,29580,29000,13100,360,1,Semiurban,Y
LP001318,Male,Yes,2,Graduate,No,62500,56540,18800,180,1,Semiurban,Y
LP001319,Male,Yes,2,Not Graduate,No,32730,18200,8100,360,1,Urban,Y
LP001322,Male,No,0,Graduate,No,41330,0,12200,360,1,Semiurban,Y
LP001325,Male,No,0,Not Graduate,No,36200,0,2500,120,1,Semiurban,Y
LP001326,Male,No,0,Graduate,,67820,0,,360,,Urban,N
LP001327,Female,Yes,0,Graduate,No,24840,23020,13700,360,1,Semiurban,Y
LP001333,Male,Yes,0,Graduate,No,19770,9970,5000,360,1,Semiurban,Y
LP001334,Male,Yes,0,Not Graduate,No,41880,0,11500,180,1,Semiurban,Y
LP001343,Male,Yes,0,Graduate,No,17590,35410,13100,360,1,Semiurban,Y
LP001345,Male,Yes,2,Not Graduate,No,42880,32630,13300,180,1,Urban,Y
LP001349,Male,No,0,Graduate,No,48430,38060,15100,360,1,Semiurban,Y
LP001350,Male,Yes,,Graduate,No,136500,0,,360,1,Urban,Y
LP001356,Male,Yes,0,Graduate,No,46520,35830,,360,1,Semiurban,Y
LP001357,Male,,,Graduate,No,38160,7540,16000,360,1,Urban,Y
LP001367,Male,Yes,1,Graduate,No,30520,10300,10000,360,1,Urban,Y
LP001369,Male,Yes,2,Graduate,No,114170,11260,22500,360,1,Urban,Y
LP001370,Male,No,0,Not Graduate,,73330,0,12000,360,1,Rural,N
LP001379,Male,Yes,2,Graduate,No,38000,36000,21600,360,0,Urban,N
LP001384,Male,Yes,3+,Not Graduate,No,20710,7540,9400,480,1,Semiurban,Y
LP001385,Male,No,0,Graduate,No,53160,0,13600,360,1,Urban,Y
LP001387,Female,Yes,0,Graduate,,29290,23330,13900,360,1,Semiurban,Y
LP001391,Male,Yes,0,Not Graduate,No,35720,41140,15200,,0,Rural,N
LP001392,Female,No,1,Graduate,Yes,74510,0,,360,1,Semiurban,Y
LP001398,Male,No,0,Graduate,,50500,0,11800,360,1,Semiurban,Y
LP001401,Male,Yes,1,Graduate,No,145830,0,18500,180,1,Rural,Y
LP001404,Female,Yes,0,Graduate,No,31670,22830,15400,360,1,Semiurban,Y
LP001405,Male,Yes,1,Graduate,No,22140,13980,8500,360,,Urban,Y
LP001421,Male,Yes,0,Graduate,No,55680,21420,17500,360,1,Rural,N
LP001422,Female,No,0,Graduate,No,104080,0,25900,360,1,Urban,Y
LP001426,Male,Yes,,Graduate,No,56670,26670,18000,360,1,Rural,Y
LP001430,Female,No,0,Graduate,No,41660,0,4400,360,1,Semiurban,Y
LP001431,Female,No,0,Graduate,No,21370,89800,13700,360,0,Semiurban,Y
LP001432,Male,Yes,2,Graduate,No,29570,0,8100,360,1,Semiurban,Y
LP001439,Male,Yes,0,Not Graduate,No,43000,20140,19400,360,1,Rural,Y
LP001443,Female,No,0,Graduate,No,36920,0,9300,360,,Rural,Y
LP001448,,Yes,3+,Graduate,No,238030,0,37000,360,1,Rural,Y
LP001449,Male,No,0,Graduate,No,38650,16400,,360,1,Rural,Y
LP001451,Male,Yes,1,Graduate,Yes,105130,38500,16000,180,0,Urban,N
LP001465,Male,Yes,0,Graduate,No,60800,25690,18200,360,,Rural,N
LP001469,Male,No,0,Graduate,Yes,201660,0,65000,480,,Urban,Y
LP001473,Male,No,0,Graduate,No,20140,19290,7400,360,1,Urban,Y
LP001478,Male,No,0,Graduate,No,27180,0,7000,360,1,Semiurban,Y
LP001482,Male,Yes,0,Graduate,Yes,34590,0,2500,120,1,Semiurban,Y
LP001487,Male,No,0,Graduate,No,48950,0,10200,360,1,Semiurban,Y
LP001488,Male,Yes,3+,Graduate,No,40000,77500,29000,360,1,Semiurban,N
LP001489,Female,Yes,0,Graduate,No,45830,0,8400,360,1,Rural,N
LP001491,Male,Yes,2,Graduate,Yes,33160,35000,8800,360,1,Urban,Y
LP001492,Male,No,0,Graduate,No,149990,0,24200,360,0,Semiurban,N
LP001493,Male,Yes,2,Not Graduate,No,42000,14300,12900,360,1,Rural,N
LP001497,Male,Yes,2,Graduate,No,50420,20830,18500,360,1,Rural,N
LP001498,Male,No,0,Graduate,No,54170,0,16800,360,1,Urban,Y
LP001504,Male,No,0,Graduate,Yes,69500,0,17500,180,1,Semiurban,Y
LP001507,Male,Yes,0,Graduate,No,26980,20340,12200,360,1,Semiurban,Y
LP001508,Male,Yes,2,Graduate,No,117570,0,18700,180,1,Urban,Y
LP001514,Female,Yes,0,Graduate,No,23300,44860,10000,360,1,Semiurban,Y
LP001516,Female,Yes,2,Graduate,No,148660,0,7000,360,1,Urban,Y
LP001518,Male,Yes,1,Graduate,No,15380,14250,3000,360,1,Urban,Y
LP001519,Female,No,0,Graduate,No,100000,16660,22500,360,1,Rural,N
LP001520,Male,Yes,0,Graduate,No,48600,8300,12500,360,1,Semiurban,Y
LP001528,Male,No,0,Graduate,No,62770,0,11800,360,0,Rural,N
LP001529,Male,Yes,0,Graduate,Yes,25770,37500,15200,360,1,Rural,Y
LP001531,Male,No,0,Graduate,No,91660,0,24400,360,1,Urban,N
LP001532,Male,Yes,2,Not Graduate,No,22810,0,11300,360,1,Rural,N
LP001535,Male,No,0,Graduate,No,32540,0,5000,360,1,Urban,Y
LP001536,Male,Yes,3+,Graduate,No,399990,0,60000,180,0,Semiurban,Y
LP001541,Male,Yes,1,Graduate,No,60000,0,16000,360,,Rural,Y
LP001543,Male,Yes,1,Graduate,No,95380,0,18700,360,1,Urban,Y
LP001546,Male,No,0,Graduate,,29800,20830,12000,360,1,Rural,Y
LP001552,Male,Yes,0,Graduate,No,45830,56250,25500,360,1,Semiurban,Y
LP001560,Male,Yes,0,Not Graduate,No,18630,10410,9800,360,1,Semiurban,Y
LP001562,Male,Yes,0,Graduate,No,79330,0,27500,360,1,Urban,N
LP001565,Male,Yes,1,Graduate,No,30890,12800,12100,360,0,Semiurban,N
LP001570,Male,Yes,2,Graduate,No,41670,14470,15800,360,1,Rural,Y
LP001572,Male,Yes,0,Graduate,No,93230,0,7500,180,1,Urban,Y
LP001574,Male,Yes,0,Graduate,No,37070,31660,18200,,1,Rural,Y
LP001577,Female,Yes,0,Graduate,No,45830,0,11200,360,1,Rural,N
LP001578,Male,Yes,0,Graduate,No,24390,33330,12900,360,1,Rural,Y
LP001579,Male,No,0,Graduate,No,22370,0,6300,480,0,Semiurban,N
LP001580,Male,Yes,2,Graduate,No,80000,0,20000,360,1,Semiurban,Y
LP001581,Male,Yes,0,Not Graduate,,18200,17690,9500,360,1,Rural,Y
LP001585,,Yes,3+,Graduate,No,517630,0,70000,300,1,Urban,Y
LP001586,Male,Yes,3+,Not Graduate,No,35220,0,8100,180,1,Rural,N
LP001594,Male,Yes,0,Graduate,No,57080,56250,18700,360,1,Semiurban,Y
LP001603,Male,Yes,0,Not Graduate,Yes,43440,7360,8700,360,1,Semiurban,N
LP001606,Male,Yes,0,Graduate,No,34970,19640,11600,360,1,Rural,Y
LP001608,Male,Yes,2,Graduate,No,20450,16190,10100,360,1,Rural,Y
LP001610,Male,Yes,3+,Graduate,No,55160,113000,49500,360,0,Semiurban,N
LP001616,Male,Yes,1,Graduate,No,37500,0,11600,360,1,Semiurban,Y
LP001630,Male,No,0,Not Graduate,No,23330,14510,10200,480,0,Urban,N
LP001633,Male,Yes,1,Graduate,No,64000,72500,18000,360,0,Urban,N
LP001634,Male,No,0,Graduate,No,19160,50630,6700,360,,Rural,N
LP001636,Male,Yes,0,Graduate,No,46000,0,7300,180,1,Semiurban,Y
LP001637,Male,Yes,1,Graduate,No,338460,0,26000,360,1,Semiurban,N
LP001639,Female,Yes,0,Graduate,No,36250,0,10800,360,1,Semiurban,Y
LP001640,Male,Yes,0,Graduate,Yes,391470,47500,12000,360,1,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,21780,0,6600,300,0,Rural,N
LP001643,Male,Yes,0,Graduate,No,23830,21380,5800,360,,Rural,Y
LP001644,,Yes,0,Graduate,Yes,6740,52960,16800,360,1,Rural,Y
LP001647,Male,Yes,0,Graduate,No,93280,0,18800,180,1,Rural,Y
LP001653,Male,No,0,Not Graduate,No,48850,0,4800,360,1,Rural,Y
LP001656,Male,No,0,Graduate,No,120000,0,16400,360,1,Semiurban,N
LP001657,Male,Yes,0,Not Graduate,No,60330,0,16000,360,1,Urban,N
LP001658,Male,No,0,Graduate,No,38580,0,7600,360,1,Semiurban,Y
LP001664,Male,No,0,Graduate,No,41910,0,12000,360,1,Rural,Y
LP001665,Male,Yes,1,Graduate,No,31250,25830,17000,360,1,Semiurban,N
LP001666,Male,No,0,Graduate,No,83330,37500,18700,360,1,Rural,Y
LP001669,Female,No,0,Not Graduate,No,19070,23650,12000,,1,Urban,Y
LP001671,Female,Yes,0,Graduate,No,34160,28160,11300,360,,Semiurban,Y
LP001673,Male,No,0,Graduate,Yes,110000,0,8300,360,1,Urban,N
LP001674,Male,Yes,1,Not Graduate,No,26000,25000,9000,360,1,Semiurban,Y
LP001677,Male,No,2,Graduate,No,49230,0,16600,360,0,Semiurban,Y
LP001682,Male,Yes,3+,Not Graduate,No,39920,0,,180,1,Urban,N
LP001688,Male,Yes,1,Not Graduate,No,35000,10830,13500,360,1,Urban,Y
LP001691,Male,Yes,2,Not Graduate,No,39170,0,12400,360,1,Semiurban,Y
LP001692,Female,No,0,Not Graduate,No,44080,0,12000,360,1,Semiurban,Y
LP001693,Female,No,0,Graduate,No,32440,0,8000,360,1,Urban,Y
LP001698,Male,No,0,Not Graduate,No,39750,25310,5500,360,1,Rural,Y
LP001699,Male,No,0,Graduate,No,24790,0,5900,360,1,Urban,Y
LP001702,Male,No,0,Graduate,No,34180,0,12700,360,1,Semiurban,N
LP001708,Female,No,0,Graduate,No,100000,0,21400,360,1,Semiurban,N
LP001711,Male,Yes,3+,Graduate,No,34300,12500,12800,360,0,Semiurban,N
LP001713,Male,Yes,1,Graduate,Yes,77870,0,24000,360,1,Urban,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,57030,0,13000,360,1,Rural,Y
LP001716,Male,Yes,0,Graduate,No,31730,30210,13700,360,1,Urban,Y
LP001720,Male,Yes,3+,Not Graduate,No,38500,9830,10000,360,1,Semiurban,Y
LP001722,Male,Yes,0,Graduate,No,1500,18000,13500,360,1,Rural,N
LP001726,Male,Yes,0,Graduate,No,37270,17750,13100,360,1,Semiurban,Y
LP001732,Male,Yes,2,Graduate,,50000,0,7200,360,0,Semiurban,N
LP001734,Female,Yes,2,Graduate,No,42830,23830,12700,360,,Semiurban,Y
LP001736,Male,Yes,0,Graduate,No,22210,0,6000,360,0,Urban,N
LP001743,Male,Yes,2,Graduate,No,40090,17170,11600,360,1,Semiurban,Y
LP001744,Male,No,0,Graduate,No,29710,27910,14400,360,1,Semiurban,Y
LP001749,Male,Yes,0,Graduate,No,75780,10100,17500,,1,Semiurban,Y
LP001750,Male,Yes,0,Graduate,No,62500,0,12800,360,1,Semiurban,Y
LP001751,Male,Yes,0,Graduate,No,32500,0,17000,360,1,Rural,N
LP001754,Male,Yes,,Not Graduate,Yes,47350,0,13800,360,1,Urban,N
LP001758,Male,Yes,2,Graduate,No,62500,16950,21000,360,1,Semiurban,Y
LP001760,Male,,,Graduate,No,47580,0,15800,480,1,Semiurban,Y
LP001761,Male,No,0,Graduate,Yes,64000,0,20000,360,1,Rural,Y
LP001765,Male,Yes,1,Graduate,No,24910,20540,10400,360,1,Semiurban,Y
LP001768,Male,Yes,0,Graduate,,37160,0,4200,180,1,Rural,Y
LP001770,Male,No,0,Not Graduate,No,31890,25980,12000,,1,Rural,Y
LP001776,Female,No,0,Graduate,No,83330,0,28000,360,1,Semiurban,Y
LP001778,Male,Yes,1,Graduate,No,31550,17790,14000,360,1,Semiurban,Y
LP001784,Male,Yes,1,Graduate,No,55000,12600,17000,360,1,Rural,Y
LP001786,Male,Yes,0,Graduate,,57460,0,25500,360,,Urban,N
LP001788,Female,No,0,Graduate,Yes,34630,0,12200,360,,Urban,Y
LP001790,Female,No,1,Graduate,No,38120,0,11200,360,1,Rural,Y
LP001792,Male,Yes,1,Graduate,No,33150,0,9600,360,1,Semiurban,Y
LP001798,Male,Yes,2,Graduate,No,58190,50000,12000,360,1,Rural,Y
LP001800,Male,Yes,1,Not Graduate,No,25100,19830,14000,180,1,Urban,N
LP001806,Male,No,0,Graduate,No,29650,57010,15500,60,1,Urban,Y
LP001807,Male,Yes,2,Graduate,Yes,62500,13000,10800,360,1,Rural,Y
LP001811,Male,Yes,0,Not Graduate,No,34060,44170,12300,360,1,Semiurban,Y
LP001813,Male,No,0,Graduate,Yes,60500,43330,12000,180,1,Urban,N
LP001814,Male,Yes,2,Graduate,No,97030,0,11200,360,1,Urban,Y
LP001819,Male,Yes,1,Not Graduate,No,66080,0,13700,180,1,Urban,Y
LP001824,Male,Yes,1,Graduate,No,28820,18430,12300,480,1,Semiurban,Y
LP001825,Male,Yes,0,Graduate,No,18090,18680,9000,360,1,Urban,Y
LP001835,Male,Yes,0,Not Graduate,No,16680,38900,20100,360,0,Semiurban,N
LP001836,Female,No,2,Graduate,No,34270,0,13800,360,1,Urban,N
LP001841,Male,No,0,Not Graduate,Yes,25830,21670,10400,360,1,Rural,Y
LP001843,Male,Yes,1,Not Graduate,No,26610,71010,27900,180,1,Semiurban,Y
LP001844,Male,No,0,Graduate,Yes,162500,0,19200,360,0,Urban,N
LP001846,Female,No,3+,Graduate,No,30830,0,25500,360,1,Rural,Y
LP001849,Male,No,0,Not Graduate,No,60450,0,11500,360,0,Rural,N
LP001854,Male,Yes,3+,Graduate,No,52500,0,9400,360,1,Urban,N
LP001859,Male,Yes,0,Graduate,No,146830,21000,30400,360,1,Rural,N
LP001864,Male,Yes,3+,Not Graduate,No,49310,0,12800,360,,Semiurban,N
LP001865,Male,Yes,1,Graduate,No,60830,42500,33000,360,,Urban,Y
LP001868,Male,No,0,Graduate,No,20600,22090,13400,360,1,Semiurban,Y
LP001870,Female,No,1,Graduate,No,34810,0,15500,36,1,Semiurban,N
LP001871,Female,No,0,Graduate,No,72000,0,12000,360,1,Rural,Y
LP001872,Male,No,0,Graduate,Yes,51660,0,12800,360,1,Semiurban,Y
LP001875,Male,No,0,Graduate,No,40950,34470,15100,360,1,Rural,Y
LP001877,Male,Yes,2,Graduate,No,47080,13870,15000,360,1,Semiurban,Y
LP001882,Male,Yes,3+,Graduate,No,43330,18110,16000,360,0,Urban,Y
LP001883,Female,No,0,Graduate,,34180,0,13500,360,1,Rural,N
LP001884,Female,No,1,Graduate,No,28760,15600,9000,360,1,Urban,Y
LP001888,Female,No,0,Graduate,No,32370,0,3000,360,1,Urban,Y
LP001891,Male,Yes,0,Graduate,No,111460,0,13600,360,1,Urban,Y
LP001892,Male,No,0,Graduate,No,28330,18570,12600,360,1,Rural,Y
LP001894,Male,Yes,0,Graduate,No,26200,22230,15000,360,1,Semiurban,Y
LP001896,Male,Yes,2,Graduate,No,39000,0,9000,360,1,Semiurban,Y
LP001900,Male,Yes,1,Graduate,No,27500,18420,11500,360,1,Semiurban,Y
LP001903,Male,Yes,0,Graduate,No,39930,32740,20700,360,1,Semiurban,Y
LP001904,Male,Yes,0,Graduate,No,31030,13000,8000,360,1,Urban,Y
LP001907,Male,Yes,0,Graduate,No,145830,0,43600,360,1,Semiurban,Y
LP001908,Female,Yes,0,Not Graduate,No,41000,0,12400,360,,Rural,Y
LP001910,Male,No,1,Not Graduate,Yes,40530,24260,15800,360,0,Urban,N
LP001914,Male,Yes,0,Graduate,No,39270,8000,11200,360,1,Semiurban,Y
LP001915,Male,Yes,2,Graduate,No,23010,9857.999878,7800,180,1,Urban,Y
LP001917,Female,No,0,Graduate,No,18110,16660,5400,360,1,Urban,Y
LP001922,Male,Yes,0,Graduate,No,206670,0,,360,1,Rural,N
LP001924,Male,No,0,Graduate,No,31580,30530,8900,360,1,Rural,Y
LP001925,Female,No,0,Graduate,Yes,26000,17170,9900,300,1,Semiurban,N
LP001926,Male,Yes,0,Graduate,No,37040,20000,12000,360,1,Rural,Y
LP001931,Female,No,0,Graduate,No,41240,0,11500,360,1,Semiurban,Y
LP001935,Male,No,0,Graduate,No,95080,0,18700,360,1,Rural,Y
LP001936,Male,Yes,0,Graduate,No,30750,24160,13900,360,1,Rural,Y
LP001938,Male,Yes,2,Graduate,No,44000,0,12700,360,0,Semiurban,N
LP001940,Male,Yes,2,Graduate,No,31530,15600,13400,360,1,Urban,Y
LP001945,Female,No,,Graduate,No,54170,0,14300,480,0,Urban,N
LP001947,Male,Yes,0,Graduate,No,23830,33340,17200,360,1,Semiurban,Y
LP001949,Male,Yes,3+,Graduate,,44160,12500,11000,360,1,Urban,Y
LP001953,Male,Yes,1,Graduate,No,68750,0,20000,360,1,Semiurban,Y
LP001954,Female,Yes,1,Graduate,No,46660,0,13500,360,1,Urban,Y
LP001955,Female,No,0,Graduate,No,50000,25410,15100,480,1,Rural,N
LP001963,Male,Yes,1,Graduate,No,20140,29250,11300,360,1,Urban,N
LP001964,Male,Yes,0,Not Graduate,No,18000,29340,9300,360,0,Urban,N
LP001972,Male,Yes,,Not Graduate,No,28750,17500,10500,360,1,Semiurban,Y
LP001974,Female,No,0,Graduate,No,50000,0,13200,360,1,Rural,Y
LP001977,Male,Yes,1,Graduate,No,16250,18030,9600,360,1,Urban,Y
LP001978,Male,No,0,Graduate,No,40000,25000,14000,360,1,Rural,Y
LP001990,Male,No,0,Not Graduate,No,20000,0,,360,1,Urban,N
LP001993,Female,No,0,Graduate,No,37620,16660,13500,360,1,Rural,Y
LP001994,Female,No,0,Graduate,No,24000,18630,10400,360,0,Urban,N
LP001996,Male,No,0,Graduate,No,202330,0,48000,360,1,Rural,N
LP001998,Male,Yes,2,Not Graduate,No,76670,0,18500,360,,Rural,Y
LP002002,Female,No,0,Graduate,No,29170,0,8400,360,1,Semiurban,Y
LP002004,Male,No,0,Not Graduate,No,29270,24050,11100,360,1,Semiurban,Y
LP002006,Female,No,0,Graduate,No,25070,0,5600,360,1,Rural,Y
LP002008,Male,Yes,2,Graduate,Yes,57460,0,14400,84,,Rural,Y
LP002024,,Yes,0,Graduate,No,24730,18430,15900,360,1,Rural,N
LP002031,Male,Yes,1,Not Graduate,No,33990,16400,11100,180,1,Urban,Y
LP002035,Male,Yes,2,Graduate,No,37170,0,12000,360,1,Semiurban,Y
LP002036,Male,Yes,0,Graduate,No,20580,21340,8800,360,,Urban,Y
LP002043,Female,No,1,Graduate,No,35410,0,11200,360,,Semiurban,Y
LP002050,Male,Yes,1,Graduate,Yes,100000,0,15500,360,1,Rural,N
LP002051,Male,Yes,0,Graduate,No,24000,21670,11500,360,1,Semiurban,Y
LP002053,Male,Yes,3+,Graduate,No,43420,1890,12400,360,1,Semiurban,Y
LP002054,Male,Yes,2,Not Graduate,No,36010,15900,,360,1,Rural,Y
LP002055,Female,No,0,Graduate,No,31660,29850,13200,360,,Rural,Y
LP002065,Male,Yes,3+,Graduate,No,150000,0,30000,360,1,Rural,Y
LP002067,Male,Yes,1,Graduate,Yes,86660,49830,37600,360,0,Rural,N
LP002068,Male,No,0,Graduate,No,49170,0,13000,360,0,Rural,Y
LP002082,Male,Yes,0,Graduate,Yes,58180,21600,18400,360,1,Semiurban,Y
LP002086,Female,Yes,0,Graduate,No,43330,24510,11000,360,1,Urban,N
LP002087,Female,No,0,Graduate,No,25000,0,6700,360,1,Urban,Y
LP002097,Male,No,1,Graduate,No,43840,17930,11700,360,1,Urban,Y
LP002098,Male,No,0,Graduate,No,29350,0,9800,360,1,Semiurban,Y
LP002100,Male,No,,Graduate,No,28330,0,7100,360,1,Urban,Y
LP002101,Male,Yes,0,Graduate,,633370,0,49000,180,1,Urban,Y
LP002103,,Yes,1,Graduate,Yes,98330,18330,18200,180,1,Urban,Y
LP002106,Male,Yes,,Graduate,Yes,55030,44900,7000,,1,Semiurban,Y
LP002110,Male,Yes,1,Graduate,,52500,6880,16000,360,1,Rural,Y
LP002112,Male,Yes,2,Graduate,Yes,25000,46000,17600,360,1,Rural,Y
LP002113,Female,No,3+,Not Graduate,No,18300,0,,360,0,Urban,N
